site_clean	country_clean	most_frequent_note	realm	lot_habitat	elevation	Latitude_clean	Longitude_clean	collection_start_date_clean	collection_end_date_clean	wetlands	NDVI	NDVI_year_max	NDVI_year_min	NDVI_year_avg	wildareas_human_footpr	hfp	population_density	night_light	temperature_2m	temperature_2m_min	temperature_2m_max	dewpoint_temperature_2m	relative_humidity	vpd	wind_speed	wind_direction	total_precipitation_sum	skin_reservoir_content	surface_solar_radiation_downwards_sum	temperature_2m_anml	relative_humidity_anml	temperature_2m_min_anml	temperature_2m_max_anml	wind_speed_anml	total_precipitation_sum_anml	surface_solar_radiation_downwards_sum_anml	wind_direction_rad	u_wind	v_wind	u_wind_anml	v_wind_anml	temperature_2m_year_avg	temperature_2m_min_year_avg	temperature_2m_max_year_avg	dewpoint_temperature_2m_year_avg	relative_humidity_year_avg	vpd_year_avg	wind_speed_year_avg	wind_direction_year_avg	total_precipitation_sum_year_avg	skin_reservoir_content_year_avg	surface_solar_radiation_downwards_sum_year_avg	temperature_2m_anml_year_avg	relative_humidity_anml_year_avg	temperature_2m_min_anml_year_avg	temperature_2m_max_anml_year_avg	wind_speed_anml_year_avg	total_precipitation_sum_anml_year_avg	surface_solar_radiation_downwards_sum_anml_year_avg	wind_speed_year_avg_tr	wind_speed_anml_year_avg_tr	Terra_aet	Terra_def	Terra_pdsi	Terra_pet	Terra_pr	Terra_ro	Terra_soil	Terra_srad	Terra_swe	Terra_tmmn	Terra_tmmx	Terra_vap	Terra_vpd	Terra_vs	Terra_month_year_avg	Terra_aet_year_avg	Terra_def_year_avg	Terra_pdsi_year_avg	Terra_pet_year_avg	Terra_pr_year_avg	Terra_ro_year_avg	Terra_soil_year_avg	Terra_srad_year_avg	Terra_swe_year_avg	Terra_tmmn_year_avg	Terra_tmmx_year_avg	Terra_vap_year_avg	Terra_vpd_year_avg	Terra_vs_year_avg	n	y	combined_traps	trap_damaged	Latitude	Longitude	yday	yday_adj	month	week	week_adj	year	collection_days	kg_code	zone	alphaFisher	alphaPoly	site
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-04-23	2015-05-01	0	398	687	40	447.9506849315068	33	36	340.4	51	6.19	1.3055555555555556	12.11	-0.7488888888888889	61.15111111111111	0.37602222222222226	2.3828001410331567	219.88888888888889	0.27444444444444444	0.012222222222222223	20997646.222222224	-2.358888888888889	-1.3911111111111112	-2.5122222222222224	-2.118888888888889	0.3950096391009799	-2.3544444444444443	1580693.111111111	3.837785099663087	2.0934844270504858	-1.1380067951487511	0.002990117506658085	-0.39499832174324845	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	72.6888888888889	1.2222222222222223	-1.1455555555555554	74.71111111111112	72.44444444444444	178.33333333333334	60.91111111111111	204.73333333333332	1.7777777777777777	1.0111111111111113	12.566666666666666	0.73	0.3522222222222222	4.198888888888889	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	221	52	FALSE	FALSE	43.5187	-80.17052	113	113	4	17	17	2015	8	Dfb	Continental	21.13543305700735	2.192621611889149	NE04_334
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-05-01	2015-05-08	0	494	687	40	447.9506849315068	33	36	340.4	51	14.87875	8.31875	21.875	7.0025	59.411249999999995	0.69785	0.5741617441565761	149.125	0.10625000000000001	0.01	22499385.5	4.10875	-3.28125	2.4725	5.53875	0.5256590960409903	-2.1675	1849036.875	2.6027222470365436	-0.1224000100998212	-0.5609634087714502	-0.3270296146028042	-0.4115447927302353	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	108.6	11	-0.95	119.6	92	5	44.2	226.6	0	8.3	21.9	1.178	0.6900000000000001	3.5500000000000003	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	601	146	FALSE	FALSE	43.5187	-80.17052	121	121	5	18	18	2015	7	Dfb	Continental	61.06562680981303	3.663088154954286	NE04_334
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-05-08	2015-05-15	0	494	687	40	447.9506849315068	33	36	340.4	51	15.907499999999999	10.35625	22.165	9.1775	64.72874999999999	0.64505	1.2747903779498306	229.75	1.67625	0.043750000000000004	20235415.5	3.67625	-0.33875000000000033	2.8075	4.36625	0.2937597636726627	-1.4012499999999999	-280137.25	4.009893956456972	-0.7038291891630446	-1.0628805107798163	0.2716493360642235	-0.11180982501052941	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	108.6	11	-0.95	119.6	92	5	44.2	226.6	0	8.3	21.9	1.178	0.6900000000000001	3.5500000000000003	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	633	183	FALSE	FALSE	43.5187	-80.17052	128	128	5	19	19	2015	7	Dfb	Continental	85.9490162343426	4.816622684242129	NE04_334
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-05-14	2015-05-22	0	572.5555555555555	687	40	447.9506849315068	33	36	340.4	51	13.292222222222223	8.286666666666667	19.416666666666668	5.51	60.10444444444444	0.5835222222222223	1.507327740336819	247.55555555555554	0.5688888888888889	0.030000000000000002	22470700.444444444	0.3211111111111111	-5.34	0.09000000000000011	0.8855555555555554	0.3454369176136125	-2.1455555555555557	1352917	4.320659526048185	0.22391291441422037	-1.490603878818055	0.13369847745769786	-0.31851433433346005	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	108.6	11	-0.95	119.6	92	5	44.2	226.6	0	8.3	21.9	1.178	0.6900000000000001	3.5500000000000003	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	353	171	FALSE	FALSE	43.5187	-80.17052	134	134	5	20	20	2015	8	Dfb	Continental	130.01944564166516	8.861635877613288	NE04_334
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-05-22	2015-05-29	0	595	687	40	447.9506849315068	33	36	340.4	51	17.245	11.71125	23.2975	8.565	57.31125	0.8210375	2.355193107454553	238.625	0.6825	0.028749999999999998	24389456.75	2.1625	-8.625	1.45625	2.76	0.6030373910507454	-2.49125	2597045.25	4.164791927571469	-1.1980700690345156	-2.0276988640044817	-0.3159907305081681	-0.5136184899691636	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	108.6	11	-0.95	119.6	92	5	44.2	226.6	0	8.3	21.9	1.178	0.6900000000000001	3.5500000000000003	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	501	210	FALSE	FALSE	43.5187	-80.17052	142	142	5	21	21	2015	7	Dfb	Continental	135.48106590857515	7.90350452637411	NE04_334
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-05-29	2015-06-05	0	620	687	40	447.9506849315068	33	36	340.4	51	15.03125	10.19375	20.978749999999998	10.21625	73.50625	0.4783	0.9986352433979501	127	6.9075	0.08	20176011	-1.3375000000000001	7.2225	-1.5412500000000002	-0.5925000000000001	0.2713556106037486	3.68625	-1830999.5	2.2165681500327983	-0.04556542658216344	0.9975951790465251	0.26030032506177536	0.07666556057883685	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	107.85	4.125	0.41875	111.975	109.5	5.625	48.325	230.1625	0	10.4875	22.3375	1.448	0.54625	3.1875	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	784	221	FALSE	FALSE	43.5187	-80.17052	149	149	5	22	22	2015	7	Dfb	Continental	102.04611712967048	5.12415036480191	NE04_334
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-06-05	2015-06-12	0	635	687	40	447.9506849315068	33	36	340.4	51	17.35625	12.870000000000001	22.405	12.055	71.60499999999999	0.5524625	0.8791543646376367	195.875	6.44625	0.09625	21549791	-5.204170427930421e-17	3.77875	0.10624999999999998	-0.12125000000000002	0.11274746739295734	3.6350000000000002	-614386.5	3.418663672343893	-0.20702276530256336	-0.8544319583839819	-0.035647891395082384	-0.10696363514115623	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	107.4	0	1.24	107.4	120	6	50.8	232.3	0	11.8	22.6	1.61	0.46	2.97	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	711	237	FALSE	FALSE	43.5187	-80.17052	156	156	6	23	23	2015	7	Dfb	Continental	124.08244841857248	6.318701790325107	NE04_334
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-06-12	2015-06-19	0	653.5	687	40	447.9506849315068	33	36	340.4	51	18.32875	14.58125	22.69625	14.165	77.01125	0.48635	0.6199688878764543	141.875	4.4624999999999995	0.12625	20166634	-0.5525	9.33	0.3525	-1.3725	0.17268269711863207	1.45875	-2707158.625	2.476185876266955	0.535855386762625	0.3118019025154355	0.09118484310436198	-0.14664459851013303	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	107.4	0	1.24	107.4	120	6	50.8	232.3	0	11.8	22.6	1.61	0.46	2.97	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	1611	390	FALSE	FALSE	43.5187	-80.17052	163	163	6	24	24	2015	7	Dfb	Continental	163.28752012339007	5.7542544612025255	NE04_334
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-06-19	2015-06-26	0	672	687	40	447.9506849315068	33	36	340.4	51	18.655	14.09125	23.74125	12.915000000000001	69.43625	0.655025	0.8930886794617813	196.625	4.66	0.04625	25784414.5	-1.1875	1.925	-1.14125	-1.15375	0.09978623714052291	0.8350000000000002	3134628.5	3.4317536417338506	0.34059803212429546	-0.8255909216408849	-0.03609625672641957	-0.09302877712302297	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	107.4	0	1.24	107.4	120	6	50.8	232.3	0	11.8	22.6	1.61	0.46	2.97	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	1779	417	FALSE	FALSE	43.5187	-80.17052	170	170	6	25	25	2015	7	Dfb	Continental	171.22543986252535	5.761542789659987	NE04_334
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-06-26	2015-07-03	0	677.25	687	40	447.9506849315068	33	36	340.4	51	16.24	12.5075	20.25375	11.505	74.18125	0.484925	1.272810957206612	156.125	5.64	0.125	18679302.5	-3.7175000000000002	6.51625	-2.9225	-4.62125	0.2809380954535158	2.9937500000000004	-3789196.5	2.7248952946761467	0.9184797059981273	0.8811598960772136	-0.0073674790671571285	0.28084147437521356	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	106.95	13.837499999999999	1.3225	120.7875	105.75	5.25	40.2625	246.175	0	12.475	24.1	1.63775	0.6025	2.8312500000000003	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	1274	357	FALSE	FALSE	43.5187	-80.17052	177	177	6	26	26	2015	7	Dfb	Continental	164.3810190619858	6.358380671903424	NE04_334
CAN|NE04_334|Arkell	Canada	NA	Nearctic	Mixed habitat	345	43.5187	-80.17052	2015-07-03	2015-07-09	0	686	687	40	447.9506849315068	33	36	340.4	51	18.8	13.467142857142857	24.517142857142858	12.60142857142857	67.58	0.6966571428571429	0.1189770385306042	162.71428571428572	1.6014285714285716	0.037142857142857144	23821748	-1.8599999999999999	0.6971428571428572	-2.5542857142857143	-1.13	0.6648219724020052	-1.0171428571428571	1120475.2857142857	2.839900025745059	-0.03948843618390062	-0.1122327897954198	-0.5508146783660915	-0.37227871962408987	7.533753424657534	3.4364931506849317	12.363972602739725	2.342931506849315	70.49482191780822	0.388233698630137	2.5606575342465754	211.95068493150686	2.341068493150685	0.06038356164383562	14494488.572977312	-0.2243287671232877	-0.653013698630137	-0.40528767123287673	-0.04936986301369862	0.05268493150684931	-0.22172602739726027	529175.205479452	1.0947219591939847	0.22927596382947063	106.2	36.9	1.46	143.1	82	4	22.700000000000003	269.3	0	13.6	26.6	1.684	0.84	2.6	6.5	55.641666666666666	6.491666666666667	0.19583333333333333	62.291666666666664	74.33333333333333	23.666666666666668	45.25	155.175	40.333333333333336	2.1	12.733333333333334	0.9655833333333333	0.3925	3.729166666666667	2039	473	FALSE	FALSE	43.5187	-80.17052	184	184	7	27	27	2015	6	Dfb	Continental	193.0560074161877	6.049019981406212	NE04_334
